record - leader,001,008,008 1,008 2,008 3,008 4,008 5,008 6,008 7,008 8,035,040,245,260,310,310 1,310 2,310 2 1,310 2 2,310 3,310 3 1,310 3 2,310 4,310 4 1,310 4 2,310 5,310 6,336,336 1,336 2,336 2 1,336 2 2,336 2 3,336 2 4,336 2 5,337,337 1,337 2,337 2 1,337 2 2,338,338 1,338 2 1,338 2 2,653,653 1,653 2,653 2 3,653 2 4,653 2 5,653 2 6,653 2 7,653 2 1,653 2 2,653 3,264,996,996 1,996 2,996 2 1,996 2 2,996 3,996 3 1,996 3 2,996 4,996 4 1,996 4 2,996 5,996 5 1,996 5 2,996 6,996 7,996 8,998,998 1,998 2,998 3,998 4,998 5,998 6,998 7,650,710,710 1,710 2,710 3,710 3 1,710 3 2,710 3 3,710 3 4,710 3 5,710 3 6,710 3 7,710 3 8,710 4,710 4 1,710 4 2,710 5,710 6,710 7,710 8,710 9,710 10,710 11,710 12,710 13,710 14,710 15,710 16,710 17,710 18,710 19,710 20,710 21,710 22,246,500,500 1,500 2,500 2 1,500 2 2,500 3,500 4,500 5,500 6,500 7,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58
00682nas  2200193u  4500,9.91684516010148E15,960104q19851987be qr|p||     0|||a|fre c,960104q19851987be qr,p,,0,,,a,French,^$ $ $a(BeLVLBS)001684516LBS01-Aleph^$ $ $a6265307^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916845160101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTraditions religieuses : périodique du CDTR et du MTRP.,^$ $ $aLiège$ $ $bCentre de documentation des traditions religieuses$ $ $c[1985]-[1987],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,^,LBS01,bib_200501.mrc.2.aq,,,,,,^$2$ $aCentre de documentation des traditions religieuses$ $ $4oth,^,aCentre de documentation des traditions religieuses,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00567nas  2200193u  4500,9.91684537010148E15,960104q19811982be mr|p||     0|||a|dut c,960104q19811982be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001684537LBS01-Aleph^$ $ $a6265428^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916845370101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$a+ 16 Krant.,^$ $ $aLeuven$ $ $bKSA. Gouw Brabant$ $ $c1981-[1982],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,^,LBS01,bib_200501.mrc.2.aq,,,,,,^$2$ $aKSA. Gouw Brabant$ $ $4oth,^,aKSA. Gouw Brabant,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00597nas  2200193u  4500,9.91692786010148E15,960130q19821989be br|p||     0|||a|dut c,960130q19821989be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001692786LBS01-Aleph^$ $ $a6309066^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916927860101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCrescendo.,^$ $ $aKessel-Lo$ $ $bFedekam Brabant $ $ $c[1982][1989],^$ $ $aBimonthly$ $ $bVanaf Jg 6,^,aBimonthly,,Bimonthly,bVanaf Jg 6,,Vanaf Jg 6,,,,,,1987 quarterly,1987 quarterly,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,atext,2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^,avolume,,volume,,,,,volume,2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aFedekam-Brabant$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00657nas  2200217u  4500,9.91692792010148E15,960130q19821989be br|p||     0|||a|dut c,960130q19821989be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001692792LBS01-Aleph^$ $ $a6309099^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916927920101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInfo Fedekam West-Vlaanderen.,,^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c1982-[1989]^$ $1$aBrugge$ $ $bFedekam. West-Vlaanderen$ $ $c1982-[1989],^$ $ $aKADOC$ $ $bphysical$ $ $c202004$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c202004,,202004.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,^,LBS01,bib_200501.mrc.2.aq,,,,,,^$2$ $aFedekam. West-Vlaanderen$ $ $4oth,^,aFedekam. West-Vlaanderen,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00679nas  2200205u  4500,9.91700169010148E15,960221q19831994be ur|p||     0|||a|dut c,960221q19831994be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001700169LBS01-Aleph^$ $ $a6348753^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917001690101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aMariapoli : intern nieuws van het focolare in de wereld.,^$ $ $aBrussel$ $ $bMariapoli$ $ $c[1983]-[1994],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aTitel varieert: Mariapolis,^,aTitel varieert: Mariapolis,,Titel varieert: Mariapolis,,,,,,^$1$8$w(BeLVLBS)001818772LBS01-Aleph$ $ $tFocolari-bundel$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00620nas  2200205u  4500,9.91702713010148E15,960228q19851992be mr|p||     0|||a|dut c,960228q19851992be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001702713LBS01-Aleph^$ $ $a6361350^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917027130101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCRM-senioren-blad.,^$ $ $aAntwerpen$ $ $bCRM. Groot-Antwerpen$ $ $c1985/86-[1991/92],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,^$2$ $aCRM. Groot-Antwerpen$ $ $4oth,^,aCRM. Groot-Antwerpen,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aTitel varieert,^,aTitel varieert,,Titel varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00570nas  2200169u  4500,9.91706421010148E15,960228q19851992be mr|p||     0|||a|dut c,960228q19851992be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001706421LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917064210101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$a't Brugske$ $ $bdriemaandelkijks informatieblad voor plaatselijke medewerkers.,^$ $ $aTongerlo$ $ $bKerk in Nood/Oostpriesterhulp$ $ $c[1982]-[1984],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01078nas  2200277u  4500,9.91709056010148E15,960318d19851994be br|p||     0|||a|fre c,960318d19851994be br,p,,0,,,a,French,^$ $ $a(BeLVLBS)001709056LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917090560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCoccinelle$ $ $bla b.d. à Bon Dieu,,^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c1985-1994^$ $1$aBruxelles$ $ $bCentre International Chrétien de Recherches,d'Information et d'Analyse de la bande dessinée^$ $1$aBruxelles$ $ $bCentre religieux d'information et d'analyse de la bande dessinée$ $ $31985-1986,d'Information et d'Analyse de la bande dessinée^,aBruxelles,,Bruxelles,bCentre religieux d'information et d'analyse de la bande dessinée,,Centre religieux d'information et d'analyse de la bande dessinée,31985-1986,31985-1986,,,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^,2KADOC,aC3,,C3,,,,,,,xKunst en cultuur,,Kunst en cultuur,6(ODIS-HT),,,,,,,,,,,,,,,,,,^$2$ $aC.R.I.A.B.D.$ $ $4oth^$2$ $aCentre international chrétien de recherches,d'information et d'analyse de la bande dessinée$ $ $4oth,d'information et d'analyse de la bande dessinée,4oth,4oth,,,,,,,,^$ $ $aFrequentie varieert,,^$ $ $a0775-4515,^$1$0$aCoccinelle$ $ $bla B. D. religieuse$ $ $g1985,,,,,,,,^$1$ $aFrancart,Roland$ $ $cS.J.$ $ $d1945-$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,
00701nas  2200229u  4500,9.91709193010148E15,960318c19859999be qr|p||     0|||a|dut c,960318c19859999be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001709193LBS01-Aleph^$ $ $a6392942^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917091930101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aFOVIG.,^$ $ $aDeerlijk$ $ $bFOVIG$ $ $c1985-,^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aFOVIG$ $ $4oth,^,aFOVIG,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aPlaats van uitgave varieert,^,aPlaats van uitgave varieert,,Plaats van uitgave varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00499nas  2200169u  4500,9.91728226010148E15,960318c19859999be qr|p||     0|||a|dut c,960318c19859999be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001728226LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917282260101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBijdehandje.,^$ $ $aAntwerpen$ $ $bVKAJ. Verbond Antwerpen$ $ $c1984-1985,^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965nas  2200253u  4500,9.91730235010148E15,960523d19851940be wr|p||     0|||a|fre c,960523d19851940be wr,p,,0,,,a,French,^$ $ $a(BeLVLBS)001730235LBS01-Aleph^$ $ $a6502742^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917302350101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aLe Vingtième artistique et littéraire$ $ $613074803,^$ $ $aBruxelles$ $ $bLe vingtième siècle$ $ $c1895-1940,^$ $ $aWeekly,^,aWeekly,,Weekly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201903$ $ $dA$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201903,,201903.0,dA,dA,,9local,,,,,,,,,,,^$ $7$2KADOC$ $ $aC4$ $ $xMedia en communicatie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$3$3$aLe XXe artistique et littéraire,,,,,,,,,,,,,,,^$ $ $aSuppl. à: Le vingtiéme siècle,,,,,,,,^$1$8$w(BeLVLBS)001462158LBS01-Aleph$ $ $tLe vingtième siècle : journal d'union et d'action catholique$ $ $4772,,,^$ $2$uhttps://anet.be/record/opacbnc/c:bnc:894$ $ $yThis edition in Abraham,,,,,,,,,,,,,,,,,,,,,,,
00658nas  2200193u  4500,9.91731729010148E15,960523d19851940be wr|p||     0|||a|fre c,960523d19851940be wr,p,,0,,,a,French,^$ $ $a(BeLVLBS)001731729LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917317290101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo$ $ $been blad voor werkzoekenden.,^$ $ $aAalst$ $ $bACV. Verbond Aalst$ $ $c[1983]-?,^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00820nas  2200229u  4500,9.91733156010148E15,960604d19851991be mr|p||     0|||a|dut c,960604d19851991be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001733156LBS01-Aleph^$ $ $a6517108^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917331560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aACW : maandelijkse nieuwsbrief van het Algemeen christelijk werkersverbond Land van Waas.,^$ $ $aSint-Niklaas$ $ $bACW. Land van Waas$ $ $c1985-1991,^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aACW. Land van Waas$ $ $4oth,^,aACW. Land van Waas,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aVoortgezet als: ACW nieuwsbrief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00768nas  2200217u  4500,9.91742227010148E15,960604d19851991be mr|p||     0|||a|dut c,960604d19851991be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001742227LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917422270101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBlik$ $ $bdriemaandelijks tijdschrift van de christen-democratische studenten - Antwerpen,,^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c[1984]-[1987]^$ $1$aAntwerpen$ $ $bCDS-Antwerpen$ $ $3[1984]-[1987],^$ $ $aKADOC$ $ $bphysical$ $ $c202106$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c202106,,202106.0,9local,,local,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aChristen democratische studenten$ $ $cAntwerpen$ $ $4oth,^,aChristen democratische studenten,cAntwerpen,cAntwerpen,,,,,,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$1$0$aEen blik door het raam$ $ $g[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00572nas  2200193u  4500,9.91743126010148E15,960701q19811995be br|p||     0|||a|und c,960701q19811995be br,p,,0,,,a,und c,^$ $ $a(BeLVLBS)001743126LBS01-Aleph^$ $ $a6563099^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917431260101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCaminhar juntos.,^$ $ $aS.l.$ $ $bAnimatiewerk Dirk Segal$ $ $c[1981]-[1995],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aAnimatiewerk Dirk Segal$ $ $4oth,^,aAnimatiewerk Dirk Segal,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$1$1$aSamen onderweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00702nas  2200217u  4500,9.91743531010148E15,960701q19811995be br|p||     0|||a|und c,960701q19811995be br,p,,0,,,a,und c,^$ $ $a(BeLVLBS)001743531LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917435310101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aGuatemala informatie.,^$ $ $aVeurne$ $ $bVlaams Guatemala komitee$ $ $c1983-[1991],^$ $ $aOther,^,aOther,,Other,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319^$ $7$2KADOC$ $ $abasisgemeenschappen$ $ $6(ODIS-TW)215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aFrequentie varieert,^,aFrequentie varieert,,Frequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00587nas  2200169u  4500,9.91743565010148E15,960701q19811995be br|p||     0|||a|und c,960701q19811995be br,p,,0,,,a,und c,^$ $ $a(BeLVLBS)001743565LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917435650101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBeweging$ $ $bdriemaandelijks tijdschrift van de christelijke werknemers verbond Land en Waas.,^$ $ $aSint-Niklaas$ $ $bACW. Verbond Land van Waas$ $ $c[1983]-[1986],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00584nas  2200193u  4500,9.91748900010148E15,960726q19841997be qr|p||     0|||a|dut c,960726q19841997be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001748900LBS01-Aleph^$ $ $a6595280^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917489000101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$a't Merelnestje.,^$ $ $aS.l.$ $ $bVriendenkring 't merelnestje$ $ $c1984-[1997],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,^$ $7$2KADOC$ $ $aHOOFDTREFWOORD-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00772nas  2200205u  4500,9.91763021010148E15,960726q19841997be qr|p||     0|||a|dut c,960726q19841997be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001763021LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917630210101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aWelzijnswerk. Service en informatie.,^$ $ $aBrussel$ $ $bVerbond van instellingen voor welzijnswerk$ $ $c1984-[1996],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aVIW$ $ $gVerbond van instellingen voor welzijnswerk$ $ $4oth^$2$ $aFederatie van autonome centra voor maatschappelijk werk$ $ $4oth^$2$ $aFederatie van consultatiebureaus voor levens- en gezinsproblemen$ $ $4oth,^,aVIW,gVerbond van instellingen voor welzijnswerk,gVerbond v,n instellingen voor welzijnswerk,,,,,,,4oth^,4oth^,,aFederatie van autonome centra voor maatschappelijk werk,4oth^,aFederatie van consultatiebureaus voor levens- en gezinsproblemen,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
